iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
TUR,Asia,Turkey,04/11,384509,2391,2285.143,10558,77,75.857,4559.085,28.35,27.095,125.185,0.913,0.899,1.09,,,,,,,,,14554923,144416,172.576,1.712,135451,1.606,0.017,59.3,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,05/11,386820,2311,2284,10639,81,77.143,4586.487,27.401,27.081,126.146,0.96,0.915,1.06,,,,,,,,,14700951,146028,174.308,1.731,137110,1.626,0.017,60,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,06/11,389256,2436,2300.286,10722,83,77.857,4615.37,28.883,27.274,127.13,0.984,0.923,1.09,,,,,,,,,14846192,145241,176.03,1.722,138355,1.64,0.017,60.1,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,07/11,391739,2483,2338.857,10803,81,78.714,4644.811,29.441,27.732,128.09,0.96,0.933,1.1,,,,,,,,,14985867,139675,177.686,1.656,140579,1.667,0.017,60.1,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,08/11,394255,2516,2397.429,10887,84,80.143,4674.643,29.832,28.426,129.086,0.996,0.95,1.1,,,,,,,,,15127811,141944,179.369,1.683,143236,1.698,0.017,59.7,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,09/11,396831,2576,2436.571,10972,85,81.429,4705.186,30.543,28.89,130.094,1.008,0.965,1.11,,,,,,,,,15273222,145411,181.093,1.724,144137,1.709,0.017,59.2,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,10/11,399360,2529,2463.143,11059,87,82.571,4735.172,29.986,29.205,131.125,1.032,0.979,1.09,,,,,,,,,15419420,146198,182.827,1.733,144130,1.709,0.017,58.5,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,11/11,402053,2693,2506.286,11145,86,83.857,4767.103,31.931,29.717,132.145,1.02,0.994,1.13,,,,,,,,,15565409,145989,184.558,1.731,144355,1.712,0.017,57.6,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,12/11,404894,2841,2582,11233,88,84.857,4800.788,33.685,30.615,133.189,1.043,1.006,1.17,,,,,,,,,15713891,148482,186.318,1.761,144706,1.716,0.018,56,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,13/11,407939,3045,2669,11326,93,86.286,4836.892,36.104,31.646,134.291,1.103,1.023,1.21,,,,,,,,,15863833,149942,188.096,1.778,145377,1.724,0.018,54.5,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
